Time_submitted,text,Rating,Total_thumbsup,Reply,sentiment,topic
2022-07-05 18:47:32,"Everything is almost alright. Whenever I play my liked songs shuffled, after couple of my liked songs are played a little after you play song THAT I NEVER LIKED WHY PLAY THEM WHEN I HAVEN'T LIKED THEM. FIX THIS. Not only that every 10 minutes i get an add. Don't hmu with the bs of not bothering you with adds for 30 minutes. THANKS FOR DISABLING MY ACCOUNT AFTER I WROTE THIS, everything was fine before I rated this.",1,0,,negative,3
2022-03-04 16:49:24,It's a very nice app actually BUT the thing that is really annoying me so bad is that it's with Internet hopefully Spotify would fix this problem thank you,4,0,,negative,2
2022-05-03 21:21:56,- Pauses continually every 15 min - Will play in the background with no way of pausing unless the app is force stopped - Multiple prompts a day for Bluetooth access - Occasionally won't open through widget - More bugs continually occuring in the last 3 months,1,1,,negative,0
2022-04-26 23:31:34,"Literally the worst app ever made. No matter what you do. No matter what setting you engage, you cannot stop it from starting automatically when you hop in your car and it connects to Bluetooth. Nothing can stop it. It just kicks in and starts rocking. Let's say you were playing the song loud in your house and then you get in your car. It's going to come out blasting. Why is autoplay so hard to stop? I feel like they're programming team simply doesn't have the skills. I hate this app.",1,3,,negative,-1
2022-04-23 14:37:49,"I constantly have to re-download all my music. When I find something new to download, and I have a subscription, and phone has room, it always just spins and doesn't DL. I follow all the steps recommended and in the end I have to reinstall it, re download everything. F*$king pain in the a$$. If it didn't have such a large download limit, I'd have gone with YouTube instead. I miss Google music.",1,8,,negative,5
2022-04-18 15:36:24,"The app is great, I know - but the fact that u can't even play the complete song when you search it up without Spotify Premium just makes it basically unusable. You can only play playlist, that's all. Spotify pls fix this.",3,0,,negative,1
2022-02-01 17:04:52,"Usually I like Spotify and even use Premium, but lately, every time there is an update, the apl crashes as soon as I start playing a song, which really makes the app very useless. Mostly this issue is resolved after some time, but it keeps coming up. Without this problem, I would give Spotify at least 4 stars. Please fix it.",1,25,,negative,2
2022-03-25 18:27:18,This app sucks you can't even listen to the right music i wanted to listen to panic at the disco but i had to listwn to a whole differenet music before i could listen to panic at the disco youtube is way better also I have Spotify on my Playstation when it goes to an add break you have to sit through 4 different ads that could range from 30 seconds to 2 minutes and they are only about buy Spotify premium,1,1,,negative,-1
2022-03-20 20:30:21,The app will stop playing songs after 2 songs. I have to open my Spotify to restart it every time. It does get annoying. Maybe a good update will help?,3,1,,negative,-1
2022-03-13 06:44:07,"Usually great, but lately keeps shutting off mid song. Very annoying!!!",1,1,,negative,5
2022-03-04 02:35:25,I hate this app I heard it was great but I want to play a song but then it shuffles with other songs I don't even like then I try to skip the song but it won't allow me and it says I only get 6 skips per HOUR I would give 0.001 of a star but I only get to put 1 so good enough. PLEASE MAKE BETTER NOWWW!!!!,1,1,,negative,3
2022-04-11 22:56:31,"I love spotify, but the app is awful. It often just decides not to load pages at all, or lag out in other way. Recently, when I play a song, the sound plays but nothing in the UI changes (I.e. it doesn't display the song is playing, meaning I can't skip the song or change the shuffle setting etc.). Very infuriating that such a popular app could work so badly.",1,10,,negative,2
2022-05-27 21:57:45,"Download podcasts but they won't play without an internet connection. What's the point? You can't listen to them offline. Edit:won't even play a single podcast all they through, part way through always skips to another episode with you hing anything.",1,0,,negative,0
2022-02-22 15:29:04,"Used to love it! All of a sudden - after the last update I guess - my Spotify will not show up on my lock screen. No matter what setting I change, I've logged out, I've reinstalled, nothing works.. Other than that, I have no complaints but this really sucks",2,5,,negative,2
2022-02-23 06:20:01,the recent update was so problematic and laggy. it won't let me use the premium features bc it keep crashing whenever i'm about to buy my premium plan. said there was no network so i have to uninstalled and re-installed it again. pls help me to fix it. thanks.,3,3,,negative,4
2022-05-20 01:10:15,music keeps randomly playing on its own. the app will be completely closed and then suddenly opens by itself. cannot find a solution to this.,1,0,,negative,2
2022-06-13 20:24:55,Please fix the shuffle function - it's literally been broken for years. I have to uninstall and reinstall often. Please fix this basic function,3,0,,negative,3
2022-01-31 05:08:08,"One less star just for the lack of a clear queue button in the app.. I keep getting the same darn podcast that auto plays.. Glitch city. What is the point of downloading songs or episodes when the app just streams anyway. If I have a connection to the internet, the podcast I'm listening to keeps buffering. If I disconnect, then it runs fine. So glitchy",1,17,,negative,0
2022-04-19 21:34:01,Spotify changes my songs by itself. It's fustrating especially when I'm driving and there's not jack I can do about it.,1,0,,negative,2
2022-04-13 22:29:00,Please fix the play situation. It's not showing the medis controls on lock screens or even in Spotify app. The only way for me to stop the music is by completely closing the app.,1,1,,negative,2
2022-03-31 11:40:55,"Premium customer for nearly a decade but it seems a bit ridiculous to pay $10 a month for an app with such awful load times, ignored bugs (which are mentioned in nearly every 1 star review) and routine crashes. I feel like for everytime this app is rendered useless, we should receive a credit on our accounts or something. I literally paid $10 for an icon on my phone last month. Maybe a better development and security team is needed, who knows.",1,0,,negative,4
2022-07-08 22:23:23,"Rn I am unable to pause, skip & play music in my spotify playlist. I usually had that bar that allows you to pause, play & skip to the next song when you minimize the spotify app to have music play in the background but its not there anymore. If I play a song from my playlist the next song in that playlist does not play for some reason. Or if I want to pause a song that is playing I'd have to close the app entirely. I have this problem whether I use my earbuds or not. I've never had this problem",3,0,,negative,3
2022-01-25 16:12:55,It have too much add uf a person who can't buy the premium they force him to take spotify premium by their adds....this is not my review it's a problem of mine...😤😤😡😡😡,1,0,,negative,1
2022-04-02 01:17:06,The mobile experience is horrible without Premium. SoundCloud offers so much more for so much less. Not worth it.,1,0,,negative,4
2022-07-04 01:26:12,"The play bar keeps disappearing. Only restarting the phone fixes it, but then it disappears again. This problem has been known for 2 months and still not fixed",1,0,,negative,2
2022-03-19 22:16:24,"It really irritates me that my playlists keep getting removed from my homescreen and replaced by podcasts I accidentally clicked on. Now I permanently have 2 absolutely random podcasts on my homescreen in which I have 0 interests. I have to navigate so much through the app just to get to my playlist. Please fix this, I have no interest in the podcast side of spotify",2,8,,negative,-1
2022-03-28 09:23:36,ads were reduced earlier but they are significantly increased again... There are two ad after every 2 songs like how do you want us to use this app,1,1,,negative,1
2022-06-24 02:22:19,Love it but it's been laggy lately,4,0,,negative,-1
2022-06-02 05:55:31,Bad experience. Too many ads.,3,3,,negative,1
2022-05-01 14:48:00,Ads when you pay money for a service is totally unacceptable. Makes the service annoying to use and they have broken their podcast feature,1,0,,negative,1
2022-03-19 10:07:28,This app is trash. I only use it for Joe Rogan podcasts. I pay for it and it still keeps glitching and will randomly change episodes and i will have to start the episode from scratch when i come back to it because it dose not keep a record of where you left it,1,1,,negative,0
2022-04-14 19:31:34,"Since 8.7.20.1261 playbar goes missing, plays or stops randomly, plays multiple songs at once. Doesn't clear up after force close or reboots. Really annoyed since I actually pay for this app.",1,1,,negative,2
2022-04-23 02:18:23,It will not let me play my play list with out shuffling or adding song that are not in my play list so fix this please i have not had this promblem befor but other than that it is a good streaming platform,4,0,,negative,3
2022-04-21 19:53:50,I no longer have the option to preview songs.,1,0,,negative,5
2022-06-23 15:58:09,My only problem random song shuffled.i want to listen to unstoppable sound and it randomly shuffle the song to happier.other tan that it's op,5,0,,negative,3
2022-03-08 19:06:19,Logins me out randomly can not login with Facebook even to is connected to it can't reset password dam this is how they treat premium members,1,2,,negative,4
2022-04-19 05:07:36,Just the past couple weeks the app has been buggy as hell stop playing music doesn't play in the background please fix,1,0,,negative,0
2022-03-10 18:30:29,Something strange has happened. When I have unfollowed a podcast it still shows up in my following list and I get alerts for new episodes. This is a known bug and I followed the steps listed for solving this but to no avail.,2,2,,negative,0
2022-04-26 13:55:21,"It was very good until recently, now it's started to shut down on it's own after a couple of hours and the shuffle option in your playlists is not working properly.Also it gets interupted if you are using the app on your phone conected to another device( tv, speakers) I hope it is just an update/ maintenance glich and not a permanent thing.",4,0,,negative,-1
2022-02-07 03:44:50,The app has gone downhill along with Spotify in general. Buggy mess along with management.,1,0,,negative,-1
2022-05-22 14:18:57,I wish I could give it a negative 5 stars cause this app is really a big failure...u can't even use another app while ur listening to songs and it not cause of my phone cause the quality of my phone is high enough to display over other apps but it ain't,1,0,,negative,0
2022-07-06 23:45:08,Garbage. Crashes all the time. Downloaded music doesn't play without signal. I'm going back to SoundCloud,1,0,,negative,5
2022-02-19 13:38:45,Why do you guys praise playing 30 minutes of ad free music when after 1 or 2 songs I get an ad?? Seems like false advertising.,5,1,,negative,1
2022-01-24 21:07:26,"It plays random songs that aren't on my Playlist when I try to listen to songs on my Playlist, the 6 skips per hour thing is completely bogus, and it just about forces you to buy their premium, just to listen to the music you want to listen to.",1,3,,negative,3
2022-05-31 03:20:45,"I am using this app since very long time, but recently whenever I'm playing a song the app suddenly getting closed. Not able to play. Not sure why is this happening and other music apps are working fine. Am I the only one who's facing like that I hope this gets resolved soon .",1,0,,negative,0
2022-03-04 23:35:25,"Nothing ever works right, I have no play button right now, no control buttons at all still playing, can't shut it off. Podcasts just stop playing in the middle then reset the whole thing",1,1,,negative,0
2022-04-20 09:49:04,You broke it with the last update. GUI disappearing without reason. Rollback and try again,1,1,,negative,2
2022-03-12 15:55:07,"Pls release update, cant delete recently song or artist in search box, so annyoing bug",1,0,,negative,5
2022-05-15 20:40:01,Screw this app i mean its cool but when I go to my liked song and hit shuffle play then it picks a random music from home and turns it on and also i can only skip musics 6 times an hour please fix this spotify,1,0,,negative,3
2022-03-28 19:07:25,Annoyed. I am a student wanting to get premium and I find out I'm not eligible. My college somehow does not qualify. I find this ridiculous that I cannot get this. I can't afford £10 per month just for music but I can't increase my phone bill for extra data to listen to music without WiFi. Please fix this. As a student I'm really annoyed my college isn't eligible and I would like a way to get this discount.,2,0,,negative,4
2022-07-03 21:59:42,I hate this app like there is a couple times when the Wi-Fi is strong but then it's still having problems working like it has its times when it doesn't work the way it's supposed to meaning the music won't work or the music will glitch which is why I hate this app other than that it's a pretty bad app it even shows lyrics which is good if you want to learn the lyrics of the song. I really hate the ads especially after like 5 minutes it goes to having three ads and everytime please fix that.,2,25,,negative,1
2022-02-24 08:15:45,"Too often Spotify says ""No internet connection"" I have premium Tried: logging out and in. Updated app. All permissions are active. Downloaded plenty of songs, they won't play. I use mobile data and tried WiFi. I made sure my phone settings were all active for app data usage. Very frustrating",2,3,,negative,2
2022-04-06 12:35:14,I like it but the ads after every song is a bit annoying I'm not sure why yhey got rid of the half hour of uninterrupted listening they used to have but now I know about McCormick gourmet spices before and after listening. I mean the least they could do is have a variation on what adds are played every 3 minutes,3,0,,negative,1
2022-04-29 22:48:54,This was a very food app until i used it in the first but after sometime i couldnt listen to individual songs that was very vexing because i had to go through the whole playlist,2,0,,negative,-1
2022-04-16 22:26:41,"Been using this app for years, used to be amazing. Recently it began to stop displaying the player controls on my home screen and in the app, and it also stops playing content regardless of what it is at random. Used to be a 5/5, now it is borderline unuseable. Will update my review when these issues are resolved.",1,1,,negative,0
2022-03-15 17:01:11,"There are no prper playlists and many songs are also not available, very bad experience 😑not so happy with this app",1,1,,negative,-1
2022-06-19 04:55:54,You guys ruined Spotify. Its awful and not what it used to be. So sad to see another American freedom taken away. Time to go back to pandora.,1,0,,negative,1
2022-04-13 22:15:08,"Has not been working properly. Continues to disappear while running. The application is usually wonderful, but now I'm having problems using it day to day.",2,1,,negative,0
2022-05-14 15:33:27,"I'm sorry but spotify is starting to really make pointless changes to the app and isn't even giving an alternative choice for the consumer once they change the place of buttons, super annoying",1,0,,negative,-1
2022-04-20 09:58:50,I have to Uninstall and reinstall like ever other day because the play bar keeps disappearing.,2,1,,negative,2
2022-04-21 10:34:52,New update is terrible. I can't see the songs I'm playing!? So bad.,1,0,,negative,5
2022-01-30 17:42:51,"While I don't care about recent controversies, I cannot abide by Spotify cutting customer service for uncontroversial problems. The app is malfunctioning and I can't seem to get help.",1,2,,negative,1
2022-02-18 03:03:39,App is not showing what's currently playing or the media control buttons. This makes it difficult to actually use the app,1,0,,negative,0
2022-04-09 20:16:08,"App is a little heavy to use, a few handful songs are missing. Overall a good app",4,0,,negative,0
2022-04-14 11:33:59,"Spotify used to be so goated, and better than every app ever. Now with all this stupid premium stuff it just sucks",2,0,,negative,1
2022-05-13 11:13:57,"Super slow loading of phone app. And no, nothing's wrong with my connection, and nothing's wrong with my android. Every other app in my phone works perfectly fine, but it takes forever just to open library or searching some artists/songs. Things simply won't load, and it used to work fine too!",1,0,,negative,5
2022-04-21 16:23:42,"Terrible, absolutely terrible. I came from using YouTube music (which i loved and never had any issues) and every so often the app does this thing where it shows nothing is playing in the ""Now Playing"" section and when it does that, I can't skip, pause or anything with songs on my phone nor with my ear buds. In the last hour today, I've had to uninstall and reinstall the app twice to fix it. It is getting annoying and I'm about to cancel my premium subscription and go to Pandora or or something.",1,11,,negative,-1
2022-06-19 14:17:05,"Honestly it is a nice app but why is it always adding songs to my playlists this ""we added"" is so annoying idc what you added I only want to listen to my songs and not your stupid adds also it just autoplays these added songs althought I turned it off. If this won't go away I'll just switch back to youtube music/youtube because even youtube only have double ads and you have 3 ads in a row.",3,0,,negative,1
2022-04-15 06:47:30,Been paying for premium for months and months use Spotify daily but recently the apps been working poorly the play bar is hidden half the time forcing me to restart the app several times just to fix it and without the bar I cant pause skip or see what's playing FIX IT it's doing it on all my devices so I know it's not just this phone doing it,2,0,,negative,2
2022-05-03 19:13:40,"Why am I hearing ads when I paid for Premium? It is ultra annoying, especially when I chose Birdsongs to relax. It makes me so angry to hear ads. Stop it!",2,2,,negative,1
2022-06-15 22:31:54,"I don't like the 10.000 songs limit on a playlist, Apple Music is better at this because the playlists can be infinite (or as many as your phone/computer can hold)",1,0,,negative,3
2022-06-21 20:44:25,I just wanna listen to 1 song. It keeps taking me to Playlist of song that isn't what I search,1,0,,negative,3
2022-02-11 13:51:44,"Love this app, but I do not like that my playlist does not play randomly all the way through before repeating songs.",5,0,,negative,3
2022-07-03 23:05:51,Impossible to use liked songs will only play in shuffle controls are unbearable and the app is stuck on one song and will not let me play any others,1,0,,negative,3
2022-03-09 23:46:08,"Like the App, but I don't know why it cannot be paid by credit card, it's easier. I have to pay it using gopay, Dana or with phone credit. It is such a hassle, because I don't use gopay or Dana, and if I topup my phone credit the money always disappear, so I don't want to topup phone credit (I buy package).",2,3,,negative,4
2022-07-08 23:33:45,I really like this app. But it's been acting up lately,4,0,,negative,0
2022-02-11 15:28:16,"Not able to login ,every time says Something went wrong ,try again later",1,0,,negative,4
2022-02-05 14:27:43,"I've been a loyal paying customer for years, but spotify lost my $12 a month or whatever it is. First, your music player is trash now, crashes constantly on a phone with 12gb of ram. Second, the censorship and removal of podcast episodes is the straw that broke the camels back.",1,3,,negative,1
2022-03-23 10:45:29,As much as I enjoy spotify they really need to work on the shuffle I don't wana hear the same 30 songs in a 68 hr long playlist,3,1,,negative,3
2022-01-01 18:27:15,"Spotify won't load any albums or podcast episodes. I tried clearing cache and data, unonstalling and reinstalling but whenever I try to go into a artists page or podcast page it tries to load but doesn't loads anything. Completely useless. I'm basicly forces to not use Spotify since I can't listen to anything at all.",1,0,,negative,2
2022-05-07 05:29:40,A good choice for listening to music but has a ton of issues. From amount of ads to randomly crashing now. It seems the apps going downhill fast but it's still not bad in my opinion.,2,1,,negative,0
2022-03-19 09:09:32,Took away the one feature mobile had which was the ability to connect to a console WITHOUT needing the Premium subscription and It's since lost my interest,2,1,,negative,4
2022-04-12 23:50:04,"Ever since the last update, it has been very glitchy even when I've opened the app for a while. Does not display the music control via Bluetooth despite different audio systems. Unable to see the play/pause/control buttons on home screen. Please fix asap!",1,0,,negative,0
2022-04-11 03:05:04,Newest update has the player super glitchy. Im about to cancel my premium membership if it isnt fixed soon.,1,2,,negative,0
2022-06-07 19:19:31,I can't select what song to listen and only 6 skips per hour that's annoying please chang that,3,0,,negative,3
2022-03-07 21:13:11,Update. No way to stop spotify from aitomatically playing when my phone connects to a blue tooth device like my car. although I had to buy a subscription and I thought I was getting hulu with it. this app has almost everything Almost but spotify is the best music app to date.,3,25,,negative,2
2022-03-22 05:05:59,"Glitchy, I pay for premium and still get ads on podcasts",3,0,,negative,1
2022-04-21 13:11:18,"Worthless. I've heard more ads in the past 30 min than music. I thought we got 30 mins of ""uninterrupted music experience"" after a long ad?",1,0,,negative,1
2022-03-28 20:59:12,I really like this app it's my #1 music source but ... I dont like the fact that i can't put my music on replay sam song or skip or choose one song only to play... It just shuffles and sometimes i just want to hear on especific song in a playlist 😢 really want that to change,3,0,,negative,3
2022-04-21 12:22:30,"Surprisingly, one of the few apps that have gotten substantially worse over time: unstable, bugs and fewer options. After almost a decade of payed subscription, I'm contemplating of switching to Apple Music.",1,0,,negative,0
2022-05-12 13:16:05,"THE NEW UPDATE WAS HORRIBLE. I can no longer pick a song from my playlist, And the skips are now limited??? The new update is stupid.",1,0,,negative,5
2022-05-27 01:46:12,"I had given the app 5 stars, but I've brought it down to 3 because of the continuous crashes and the fact that hearted/downloaded songs sometimes glitch and the songs play for about 5 seconds then skips to the next. It's troll ngl. Please offer repairs because I really like the app and would not like to have to stop using it due to minor yet absolutely frustrating inconveniences.",3,3,,negative,-1
2022-01-04 19:38:24,Have this app for a long time but recently I am having some dumb issues. I will have the app randomly close out which it also brings other problems. Even when I open it back up it does not keep track of the time on a podcast. When I change podcast it says I'm still playing the one it crashed on. Had to uninstall Spotify and redownload it to fix it but it has done it again. SPOTIFY PLEASE FIX THIS BUG!!!!!,3,1,,negative,0
2022-04-13 19:27:44,"Awesome selection of songs and podcasts, I like the UI but it's by far the buggiest app I own. Been worse lately as well",2,0,,negative,0
2022-04-03 03:15:37,App was great until they put huge banners on every other podcast to learn about some disease.,3,0,,negative,0
2022-04-18 02:17:57,Too many bugs/glitches that just doesn't make the experience worthwhile,2,1,,negative,0
2022-02-14 14:27:21,Can't even play songs anymore. Searching songs will only give you relates songs but not the one you searched for. This app used to be good...,1,1,,negative,5
2022-05-06 18:43:06,They shuffle songs that can be offensive in wording without your consent. Other things are good but that is a conflict of interest. Sorry not sorry Spotify.,2,0,,negative,3
2022-04-25 16:08:24,"Please fix the video feed and sleep timer on the podcasts, as well as the crashing problem. The support functions in the app are unhelpful",2,0,,negative,0
2022-04-15 00:17:41,"Very buggy lately since last update, unable to choose on lock screen whether to go back or forward, app doesn't recognize that a song/ podcast is playing",1,1,,negative,0
2022-04-13 10:22:35,"I use Spotify every day but recently the app is frustrating. When listening, very often the app the UI doesn't show any music is playing so I have no way to pause, play or change song via the phone (android). There isn't even a bar on the lock screen. The shuffle functionality quite simple doesn't work as it should. When I shuffle my songs I get the same songs played to me, but also repeated. Maybe they're trying to be too smart and playing songs they know you like. Let me make that decision",2,140,,negative,2
2022-06-11 19:09:09,Used for many years and love it. However recently I can't play my downloaded music. At all.,3,0,,negative,5
2022-06-24 17:32:43,Too many ads on podcasts with Spotify premium.,3,4,,negative,1
2022-04-24 06:30:31,"This app is not good I try registerating three account but, it say 'samething went wrong' or 'this account is already registered' so when I put password it say 'this is incurrent password' even tho I have written somewhere before registerating I'm not satisfied with this app please do something. I thing I already made 4 account but still I can't enjoy this app features. Please please",1,0,,negative,4
2022-06-24 06:24:49,Too much aids.... And some old songs are not found,2,0,,negative,-1
2022-06-17 19:22:38,I am unable to login again !!!! Worst app i have ever used to login 🤬🤬,2,0,,negative,4
2022-05-21 07:56:04,I couldn't use my spotify premium price for student.it said i already take that offer and register but i can't use that voucher,3,2,,negative,4
2022-02-07 23:44:11,i love music and this app but the only thing i dont like is when a add comes on after a song because i was listening to music and my fav song was about come on but a add would come on so i give it 5 though.,5,0,,negative,-1
2022-02-05 20:48:08,"Has problems playing over Bluetooth, no one seems to have an answer as to why its happening, apparently all user from all devices have the problem, and its not being addressed. Reinstalled, unpaired, updated OS, NOTHING seems to work. Tired of wasting my time!",1,4,,negative,0
2022-05-16 11:40:10,The extra song feature is the worst feature ever period,2,0,,negative,-1
2022-04-21 15:52:03,"Same problem as everyone else. Cutting out, won't switch off, no play bar. Needs to sorted and quickly. Cheaper apps available.",1,0,,negative,2
2022-03-24 10:06:19,If a song playing..... Suddenly comes with ads...it time taken to 1mint 30 seconds.....hate it....,1,0,,negative,1
2022-01-10 14:35:59,"It worked great for the last 2 months then all of a sudden I wasn't able to control the music from my lock screen anymore, only the notification bar or the app itself and I can't seem to get it to go back to ""normal"" after 3 reinstalls and a Google search.",3,5,,negative,0
2022-05-02 18:09:53,"This app crashes several times a day and when an ad plays during a podcast it resets it back to the beginning.. honestly not sure what's happened to the developers of this app, have they been replaced by toddler's? Update after a year: still very very bad, none of the the problems stated here have been resolved.",1,1,,negative,0
2022-03-18 09:46:23,"Can anybody relate? I also pay for no ads and such. I'm feeling like there are some bugs, my next songs up aren't what they should be, like in an album, it skips the next song, or on an artists ""radio"" it plays what I click on but the next song is something completely out of the ""radio"" Playlist. Just kind of annoying. Been happening about a week or 2.",4,3,,negative,-1
2022-04-24 18:55:08,"Album artwork not showing on Galaxy watch, only when app is uninstalled. Very strange",1,0,,negative,-1
2022-06-13 13:56:34,Quality is low on your platform as compared to others like Jio Saavn and Amazon music. Songs sounds like someone as choked the output.,1,0,,negative,1
2022-01-31 13:24:30,"Former Premium subscriber. Canceled account in solidarity with Neil Young, Joni Mitchell and other artists who believe that Spotify should serve music fans, not pander to an obnoxious and dangerous lunatic fringe. As a music fan, I feel betrayed by Spotify. As for the app, what can I say? It's a platform for anti-science right wing propaganda. That's a deal breaker.",1,4,,negative,1
2022-02-22 08:46:35,"NO INTERNET CONNECTION ISSUE I haven't been able to connect to my Spotify account for the past 1 week because it keeps telling me that there's no internet. Fix this pls else we switch to Audiomack, there are less issues there.",1,0,,negative,2
2022-04-01 15:14:40,"okay so like I always have premium but without it the adds are soo long, most times I get a total 5 advertisements in one ad. idk if this is a bug or anything but it's just..yeah no.",2,0,,negative,1
2022-06-23 10:32:24,Too many advertisements,1,0,,negative,1
2022-06-06 21:14:04,Great but sometimes my downloaded music cannot play. I hove to connect to the internet to listen sometimes,5,0,,negative,5
2022-04-20 06:33:51,Why can't I pause or stop a song from playing? This is ridiculous. I literally have to restart my phone to get the songs to stop playing. FIX THIS!!!!,1,1,,negative,-1
2022-04-20 06:34:55,"Issues with pause and skip buttons disappearing in the tool bar, constant having to restart the app. Not worth the price I'm paying, have cancelled for now until sorted.",2,1,,negative,-1
2022-05-25 14:58:54,The app is great millions of songs for free at ur finger tips but the thing is its kinda heavy for old and below budget phone like on my galaxy note 2 it lags a lot and sometimes even freez and crash u should really consider making a lite version pllssss,4,0,,negative,-1
2022-03-12 02:48:21,I liked it until the new update and now the song only plays for a few seconds 😡 I don't like the update. On this,4,2,,negative,5
2022-07-04 13:52:14,All of a sudden it will no longer connects via bluetooth in any car. I have tried other apps as well as phone's and it appears to only be spotify that doesn't play.,1,0,,negative,2
2022-04-12 19:19:34,Stops playing by itself. Control disappears. Glitchy. Please fix today.,1,0,,negative,0
2022-01-22 17:43:50,Upgraded to premium duo and could get the app to work correctly. Then it logged me into the account using my email but my wife's username. Every time I log out it pops up showing me logged in as her. Cannot get human help. Fckd up!,1,0,,negative,4
2022-03-06 01:21:06,"With this update, Spotify got pretty buggy, whenever I'm using offline mode, some songs aren't downloaded, please fix this because it's pretty annoying",1,1,,negative,2
2022-05-10 14:40:09,"Premium user for years. It's difficult to report issues / find support outside of very basic user issues using their website. Podcast feature was a nice add but the Your Episodes Playlist is limited and messes with downloaded episodes unnecessarily. Recently there's been issues with the queue not working properly. I will rearrange in the queue and by the end of a song/episode, it will clear. Debating if it's worth paying for premium or if I should start researching other services to replace it.",3,16,,negative,-1
2022-05-11 08:06:15,This app is fine when i play it then i cant listen to the song that i WANTED i have to buy the premium. (I WONT PAY),2,0,,negative,4
2022-02-10 10:21:29,"Plays podcasts completely out of order, changing the order and trying to play again doesn't change the order of the playlist. At the end of every episode it plays the previous instead of the next, I have to manually select everytine, very frustrating experience.",1,2,,negative,3
2022-04-14 16:51:46,Been buggy af lately.. not showing current song playing.. randomly closing.. trouble loading stuff etc.. and ANDROID STILL DOESNT HAVE SWIPE TO ADD TO QUEUE that's messed up.,3,1,,negative,0
2022-07-07 02:26:31,We couldn't even download any music for free,1,0,,negative,4
2022-07-08 23:00:55,Apple music is worse. But better.,1,0,,negative,-1
2022-03-08 18:23:42,Tried 3 credit cards and 2 debit cards. Payment fails evryr damn time. Not sure how you guys make money with these kinda of experiences. Very poor payment experience. Worst log in experience as well.,1,0,,negative,4
2022-04-30 02:21:44,Wide variety of music. Almost every artist is on here. My only problem is the amount of ads. If you don't have premium you could receive up around 7 ads at a time. Maybe it change I don't know because it got so bad I had to get premium.,4,1,,negative,1
2022-05-27 16:36:01,This is how it goes when you go to play Spotify alright I want to listen to this playlist after 15 minutes of ads I rather go to SoundCloud or YouTube,1,1,,negative,1
2022-05-22 16:16:53,"When you start a song sometimes it will skip that song after a few seconds Other times it will randomly play songs I've never heard before when I'm listening from my own playlist Additionally downloaded songs wont play without internet half the time, which defeats the purpose",3,0,,negative,3
2022-06-23 15:36:41,I can't even loop my favorite song and others bro put it on premium for no reason bro 🙄 sh*itty app,2,0,,negative,4
2022-05-24 09:49:44,the playback fails when you hit the 15 sec back button. it does not work especially hitting it repeatedly to go back a few minutes. Its quite irritating when podcast listening and driving.,4,2,,negative,0
2022-04-17 05:11:59,Hasn't worked properly with my car over Bluetooth for a few months now. Track metadata does not change after first track. Only solution was to install an old version. Loads of similar stories around but no solution. Useless,2,0,,negative,2
