Time_submitted,text,Rating,Total_thumbsup,Reply,sentiment
2022-05-03 21:21:56,- Pauses continually every 15 min - Will play in the background with no way of pausing unless the app is force stopped - Multiple prompts a day for Bluetooth access - Occasionally won't open through widget - More bugs continually occuring in the last 3 months,1,1,,negative
2022-06-02 20:04:17,I've used Spotify exclusively for my music for over 10 years now. It's the best I can recommend. Free version on mobile kind of sucks - but premium isn't very expensive at all especially as a student.,5,1,,positive
2022-06-07 04:22:46,"To the team of spotify, this is to inform you that I dont have any active subscription and i haven't paid one(not even the tried the trial) but I'm not getting any advertisements in the middle of playlists like the premium users... please check what it is! Thank you!",4,0,,neutral
2022-04-26 23:31:34,"Literally the worst app ever made. No matter what you do. No matter what setting you engage, you cannot stop it from starting automatically when you hop in your car and it connects to Bluetooth. Nothing can stop it. It just kicks in and starts rocking. Let's say you were playing the song loud in your house and then you get in your car. It's going to come out blasting. Why is autoplay so hard to stop? I feel like they're programming team simply doesn't have the skills. I hate this app.",1,3,,negative
2022-04-17 08:26:02,The best music experience you will ever have ❤,5,0,,positive
2022-04-23 14:37:49,"I constantly have to re-download all my music. When I find something new to download, and I have a subscription, and phone has room, it always just spins and doesn't DL. I follow all the steps recommended and in the end I have to reinstall it, re download everything. F*$king pain in the a$$. If it didn't have such a large download limit, I'd have gone with YouTube instead. I miss Google music.",1,8,,negative
2022-05-08 02:39:26,it is so good and convinent and it is so much better than YouTube music,5,0,,positive
2022-05-04 16:57:17,I am enjoying the music and it's such a wide variety.,5,0,,positive
2022-04-18 15:36:24,"The app is great, I know - but the fact that u can't even play the complete song when you search it up without Spotify Premium just makes it basically unusable. You can only play playlist, that's all. Spotify pls fix this.",3,0,,negative
2022-02-01 17:04:52,"Usually I like Spotify and even use Premium, but lately, every time there is an update, the apl crashes as soon as I start playing a song, which really makes the app very useless. Mostly this issue is resolved after some time, but it keeps coming up. Without this problem, I would give Spotify at least 4 stars. Please fix it.",1,25,,negative
2022-06-13 04:39:24,I love it there's not much adds either all music is free and it's free to make a podcast,5,0,,positive
2022-07-02 20:40:43,"This app has lots of podcasts and I love those , you can also try these podcasts of Crime & Thriller.",5,0,,positive
2022-05-13 20:16:36,Where do I start well Spotify was the last musical platform that I added to my music app ecosystem I already have YouTube music and SoundCloud and Spotify has been a welcome addition I love the fact that I have the ability to search for singles remixes and albums from all three what I enjoy doing is opening Spotify and SoundCloud in split screen view and being able to blend and mix between the two🎛️,4,0,,positive
2022-03-25 18:27:18,This app sucks you can't even listen to the right music i wanted to listen to panic at the disco but i had to listwn to a whole differenet music before i could listen to panic at the disco youtube is way better also I have Spotify on my Playstation when it goes to an add break you have to sit through 4 different ads that could range from 30 seconds to 2 minutes and they are only about buy Spotify premium,1,1,,negative
2022-06-22 21:12:35,It's good but why can't we play offline music,4,0,,neutral
2022-03-20 20:30:21,The app will stop playing songs after 2 songs. I have to open my Spotify to restart it every time. It does get annoying. Maybe a good update will help?,3,1,,negative
2022-03-11 23:02:05,"No problems so far, been using it about 2 years now. Easy to navigate, easy to use.",4,1,,positive
2022-04-20 21:45:33,I can find any song I want on this app. I love this!!!!,5,0,,positive
2022-06-28 09:12:11,"Very outstanding app for songs, podcasts : ) :D",5,0,,positive
2022-03-13 06:44:07,"Usually great, but lately keeps shutting off mid song. Very annoying!!!",1,1,,negative
2022-03-04 02:35:25,I hate this app I heard it was great but I want to play a song but then it shuffles with other songs I don't even like then I try to skip the song but it won't allow me and it says I only get 6 skips per HOUR I would give 0.001 of a star but I only get to put 1 so good enough. PLEASE MAKE BETTER NOWWW!!!!,1,1,,negative
2022-04-11 22:56:31,"I love spotify, but the app is awful. It often just decides not to load pages at all, or lag out in other way. Recently, when I play a song, the sound plays but nothing in the UI changes (I.e. it doesn't display the song is playing, meaning I can't skip the song or change the shuffle setting etc.). Very infuriating that such a popular app could work so badly.",1,10,,negative
2022-05-27 21:57:45,"Download podcasts but they won't play without an internet connection. What's the point? You can't listen to them offline. Edit:won't even play a single podcast all they through, part way through always skips to another episode with you hing anything.",1,0,,negative
2022-02-22 15:29:04,"Used to love it! All of a sudden - after the last update I guess - my Spotify will not show up on my lock screen. No matter what setting I change, I've logged out, I've reinstalled, nothing works.. Other than that, I have no complaints but this really sucks",2,5,,negative
2022-03-13 15:20:05,The best music app out there. Not obly does it let you organize and find you own music but it helps find new artists and songs and podcasts that fit your vibe anytime. Its super organized and easy to use. Definitely my favorite app.,5,37,,positive
2022-02-23 06:20:01,the recent update was so problematic and laggy. it won't let me use the premium features bc it keep crashing whenever i'm about to buy my premium plan. said there was no network so i have to uninstalled and re-installed it again. pls help me to fix it. thanks.,3,3,,negative
2022-04-24 02:16:24,Music is th life n Spotify is th best app to listen th music,5,0,,positive
2022-07-06 02:50:05,Very good app.i listen to lots of music on hear,5,0,,positive
2022-03-29 04:07:51,"Will choose this app over pandora. Just like that. I like this app and enjoying, keep up the good work",5,0,,positive
2022-06-16 07:32:06,Vere cofartable and very clear sound I like very much,5,0,,positive
2022-02-11 22:24:55,"Nice, you have nice songs almost all the categories.",4,0,,positive
2022-05-07 01:44:29,"Imagine searching for a song and when you play it, it plays another song.",1,0,,neutral
2022-06-11 23:56:11,I like being able to play music even when my phone is off,5,0,,positive
2022-04-21 04:55:55,Awesome App for listening to songs...Has a vast collection of songs and is available for all platforms..which makes it very easy to use.. Android app has bugs though..!! Doesn't work on my Wi-Fi sometimes.. Hopefully the pesky bugs are removed ASAP...,4,0,,positive
2022-05-20 01:10:15,music keeps randomly playing on its own. the app will be completely closed and then suddenly opens by itself. cannot find a solution to this.,1,0,,negative
2022-01-22 15:54:22,Loving it so far. Would recommend over Apple Music any day.,5,0,,positive
2022-05-13 14:43:40,"As amazing as it is to get to listen to the music YOU love, it would be nice if you just got THAT, not the excessive amount of recommended songs this bull app gives when you just want to listen to an album. No, Spotify, I would not like to hear the 50 million additional songs you've added to my playlist for me to try. Why? Because it is MY PLAYLIST with the songs I like, not you and your people, ME!",2,2,,positive
2022-06-25 08:18:26,Has all the songs and bands I listen too...,5,0,,neutral
2022-06-13 20:24:55,Please fix the shuffle function - it's literally been broken for years. I have to uninstall and reinstall often. Please fix this basic function,3,0,,negative
2022-07-03 04:01:57,Sound quality in premium category has decreased. Earlier I was really impressed compare to any other music streaming app.,3,26,Hey! We’re sorry to hear that. We’d recommend getting in touch with our support team by following the steps at https://bit.ly/2zhNwyX. They’ll be able to help with this.,neutral
2022-01-31 05:08:08,"One less star just for the lack of a clear queue button in the app.. I keep getting the same darn podcast that auto plays.. Glitch city. What is the point of downloading songs or episodes when the app just streams anyway. If I have a connection to the internet, the podcast I'm listening to keeps buffering. If I disconnect, then it runs fine. So glitchy",1,17,,negative
2022-04-19 21:34:01,Spotify changes my songs by itself. It's fustrating especially when I'm driving and there's not jack I can do about it.,1,0,,negative
2022-06-20 11:26:11,I thoroughly enjoy the app it's super easy to use and the search results are endless from Playlist to song I've never known exist from artists I love,5,0,,positive
2022-04-13 22:29:00,Please fix the play situation. It's not showing the medis controls on lock screens or even in Spotify app. The only way for me to stop the music is by completely closing the app.,1,1,,negative
2022-06-01 03:11:49,"Great , wish I could download and keep my play list...",5,0,,positive
2022-03-31 11:40:55,"Premium customer for nearly a decade but it seems a bit ridiculous to pay $10 a month for an app with such awful load times, ignored bugs (which are mentioned in nearly every 1 star review) and routine crashes. I feel like for everytime this app is rendered useless, we should receive a credit on our accounts or something. I literally paid $10 for an icon on my phone last month. Maybe a better development and security team is needed, who knows.",1,0,,negative
2022-07-08 22:23:23,"Rn I am unable to pause, skip & play music in my spotify playlist. I usually had that bar that allows you to pause, play & skip to the next song when you minimize the spotify app to have music play in the background but its not there anymore. If I play a song from my playlist the next song in that playlist does not play for some reason. Or if I want to pause a song that is playing I'd have to close the app entirely. I have this problem whether I use my earbuds or not. I've never had this problem",3,0,,negative
2022-01-25 16:12:55,It have too much add uf a person who can't buy the premium they force him to take spotify premium by their adds....this is not my review it's a problem of mine...😤😤😡😡😡,1,0,,negative
2022-04-06 20:11:11,Much better than when I first used it more than a decade ago. I'm yet to know any other music repository like it. I duff my hat for Spotify!,5,0,,positive
2022-04-02 01:17:06,The mobile experience is horrible without Premium. SoundCloud offers so much more for so much less. Not worth it.,1,0,,negative
2022-07-04 01:26:12,"The play bar keeps disappearing. Only restarting the phone fixes it, but then it disappears again. This problem has been known for 2 months and still not fixed",1,0,,negative
2022-03-19 22:16:24,"It really irritates me that my playlists keep getting removed from my homescreen and replaced by podcasts I accidentally clicked on. Now I permanently have 2 absolutely random podcasts on my homescreen in which I have 0 interests. I have to navigate so much through the app just to get to my playlist. Please fix this, I have no interest in the podcast side of spotify",2,8,,negative
2022-03-28 09:23:36,ads were reduced earlier but they are significantly increased again... There are two ad after every 2 songs like how do you want us to use this app,1,1,,negative
2022-06-24 02:22:19,Love it but it's been laggy lately,4,0,,negative
2022-05-07 10:58:43,a little low price would be superb,4,0,,positive
2022-06-02 05:55:31,Bad experience. Too many ads.,3,3,,negative
2022-06-17 08:41:34,Great music and songs 🎵 👌 🎶,5,0,,positive
2022-03-20 18:18:17,Song recommendations are good. Bollywood recommendations need to improve. Ads should decrease. English lyrics are really required for non-English songs.,4,2,,positive
2022-06-09 02:01:11,Love it! Been enjoying the streaming. Good Playlist features. Been recently loving the lyrics.,5,0,,positive
2022-07-08 22:09:51,Good free music. Easy to use.,5,0,,positive
2022-05-01 14:48:00,Ads when you pay money for a service is totally unacceptable. Makes the service annoying to use and they have broken their podcast feature,1,0,,negative
2022-03-19 10:07:28,This app is trash. I only use it for Joe Rogan podcasts. I pay for it and it still keeps glitching and will randomly change episodes and i will have to start the episode from scratch when i come back to it because it dose not keep a record of where you left it,1,1,,negative
2022-04-14 19:31:34,"Since 8.7.20.1261 playbar goes missing, plays or stops randomly, plays multiple songs at once. Doesn't clear up after force close or reboots. Really annoyed since I actually pay for this app.",1,1,,negative
2022-05-09 05:47:08,I want to share with friends for a long time without changing accounts. Why can I only join another Premium once a year?,3,5,,neutral
2022-04-23 02:18:23,It will not let me play my play list with out shuffling or adding song that are not in my play list so fix this please i have not had this promblem befor but other than that it is a good streaming platform,4,0,,negative
2022-03-16 20:53:19,Great app good selection of songs use it to listen daily,5,0,,positive
2022-06-02 02:49:38,I'm happy 😊😊 and relax every to listen .my favorite song play on Spotify thanks.,5,0,,positive
2022-04-20 14:36:30,Full of ads,1,0,,negative
2022-04-21 19:53:50,I no longer have the option to preview songs.,1,0,,negative
2022-06-23 15:58:09,My only problem random song shuffled.i want to listen to unstoppable sound and it randomly shuffle the song to happier.other tan that it's op,5,0,,negative
2022-01-22 20:37:51,Enjoy no commercials..love how it keeps track of what I play and makes me Playlists..,5,0,,positive
2022-01-29 16:30:59,"Everything is great in this app but main problem comes with those annoying ads Ok, no problem I'll buy it, but for months!!! That's the it reason I rate it 1 star",1,4,,positive
2022-03-08 19:06:19,Logins me out randomly can not login with Facebook even to is connected to it can't reset password dam this is how they treat premium members,1,2,,negative
2022-04-19 05:07:36,Just the past couple weeks the app has been buggy as hell stop playing music doesn't play in the background please fix,1,0,,negative
2022-03-20 20:30:07,I enjoy Spotify. It mixes music for me. And the quality is great. Play On!,5,1,,positive
2022-03-10 18:30:29,Something strange has happened. When I have unfollowed a podcast it still shows up in my following list and I get alerts for new episodes. This is a known bug and I followed the steps listed for solving this but to no avail.,2,2,,negative
2022-04-26 13:55:21,"It was very good until recently, now it's started to shut down on it's own after a couple of hours and the shuffle option in your playlists is not working properly.Also it gets interupted if you are using the app on your phone conected to another device( tv, speakers) I hope it is just an update/ maintenance glich and not a permanent thing.",4,0,,negative
2022-02-07 03:44:50,The app has gone downhill along with Spotify in general. Buggy mess along with management.,1,0,,negative
2022-05-22 14:18:57,I wish I could give it a negative 5 stars cause this app is really a big failure...u can't even use another app while ur listening to songs and it not cause of my phone cause the quality of my phone is high enough to display over other apps but it ain't,1,0,,negative
2022-02-07 17:24:20,I'm still loyal to the app but I'm starting to stay to other apps because one day I'll have specific singles and the next they are unplayable...,4,1,,neutral
2022-07-06 23:45:08,Garbage. Crashes all the time. Downloaded music doesn't play without signal. I'm going back to SoundCloud,1,0,,negative
2022-02-19 13:38:45,Why do you guys praise playing 30 minutes of ad free music when after 1 or 2 songs I get an ad?? Seems like false advertising.,5,1,,negative
2022-05-07 19:26:12,Best music app.yet. use it all the time,5,0,,positive
2022-03-06 10:32:13,"I definitief recommend you pay for premium on a family plan or a share plan, but everything else is amazing . Creating and finding playlist has never been this easy. I spend the most time on this app. I love it!",5,8,,positive
2022-01-24 21:07:26,"It plays random songs that aren't on my Playlist when I try to listen to songs on my Playlist, the 6 skips per hour thing is completely bogus, and it just about forces you to buy their premium, just to listen to the music you want to listen to.",1,3,,negative
2022-05-31 03:20:45,"I am using this app since very long time, but recently whenever I'm playing a song the app suddenly getting closed. Not able to play. Not sure why is this happening and other music apps are working fine. Am I the only one who's facing like that I hope this gets resolved soon .",1,0,,negative
2022-03-04 23:35:25,"Nothing ever works right, I have no play button right now, no control buttons at all still playing, can't shut it off. Podcasts just stop playing in the middle then reset the whole thing",1,1,,negative
2022-04-20 09:49:04,You broke it with the last update. GUI disappearing without reason. Rollback and try again,1,1,,negative
2022-05-20 02:37:48,"It's a really good app, but I sometimes find it hard to discover new songs",4,0,,positive
2022-03-12 15:55:07,"Pls release update, cant delete recently song or artist in search box, so annyoing bug",1,0,,negative
2022-04-18 10:18:31,"Perfect for music lovers, they have everything",5,1,,positive
2022-05-15 20:40:01,Screw this app i mean its cool but when I go to my liked song and hit shuffle play then it picks a random music from home and turns it on and also i can only skip musics 6 times an hour please fix this spotify,1,0,,negative
2022-03-28 19:07:25,Annoyed. I am a student wanting to get premium and I find out I'm not eligible. My college somehow does not qualify. I find this ridiculous that I cannot get this. I can't afford £10 per month just for music but I can't increase my phone bill for extra data to listen to music without WiFi. Please fix this. As a student I'm really annoyed my college isn't eligible and I would like a way to get this discount.,2,0,,negative
2022-07-03 21:59:42,I hate this app like there is a couple times when the Wi-Fi is strong but then it's still having problems working like it has its times when it doesn't work the way it's supposed to meaning the music won't work or the music will glitch which is why I hate this app other than that it's a pretty bad app it even shows lyrics which is good if you want to learn the lyrics of the song. I really hate the ads especially after like 5 minutes it goes to having three ads and everytime please fix that.,2,25,,negative
2022-06-09 14:33:56,I'm new to Spotify and loving it so far.,5,0,,positive
2022-02-24 08:15:45,"Too often Spotify says ""No internet connection"" I have premium Tried: logging out and in. Updated app. All permissions are active. Downloaded plenty of songs, they won't play. I use mobile data and tried WiFi. I made sure my phone settings were all active for app data usage. Very frustrating",2,3,,negative
2022-04-06 12:35:14,I like it but the ads after every song is a bit annoying I'm not sure why yhey got rid of the half hour of uninterrupted listening they used to have but now I know about McCormick gourmet spices before and after listening. I mean the least they could do is have a variation on what adds are played every 3 minutes,3,0,,negative
2022-04-29 22:48:54,This was a very food app until i used it in the first but after sometime i couldnt listen to individual songs that was very vexing because i had to go through the whole playlist,2,0,,negative
2022-04-16 22:26:41,"Been using this app for years, used to be amazing. Recently it began to stop displaying the player controls on my home screen and in the app, and it also stops playing content regardless of what it is at random. Used to be a 5/5, now it is borderline unuseable. Will update my review when these issues are resolved.",1,1,,negative
2022-03-15 17:01:11,"There are no prper playlists and many songs are also not available, very bad experience 😑not so happy with this app",1,1,,negative
2022-03-24 13:51:54,"Can someone PLEASE edit the ""n"" word out of the song ""better on the other side"" by the game. I'd like to play it at work!❤ btw I love spotify!! :)",5,0,,positive
2022-06-19 04:55:54,You guys ruined Spotify. Its awful and not what it used to be. So sad to see another American freedom taken away. Time to go back to pandora.,1,0,,negative
2022-04-06 23:50:51,"I have this on my fire TV, right, same account, right, except on my phone, to listen to the music that I actually like, I have to have something called premium. So it gives you a good experience on one device and on the other it gives you a $μ¡~¥ one. App installed. Would also like for you to please fix!",1,1,,neutral
2022-03-30 09:55:06,"I absolutely love this, I had no idea that you could adjust the volume even when your phone it off and if your on other tabs! My sister has it and I used to think that something so good would cost money but it's free! I would 100 percent recommend it.",5,2,,positive
2022-04-13 22:15:08,"Has not been working properly. Continues to disappear while running. The application is usually wonderful, but now I'm having problems using it day to day.",2,1,,negative
2022-05-14 15:33:27,"I'm sorry but spotify is starting to really make pointless changes to the app and isn't even giving an alternative choice for the consumer once they change the place of buttons, super annoying",1,0,,negative
2022-02-21 00:18:45,It has all my favorite songs and podcasts In inglish and not,5,0,,positive
2022-01-30 20:04:07,"Misinformation is an illusion, most information is opinion. And I enjoy hearing opinions. Kind of like music is supposed to be.",5,2,,neutral
2022-04-20 19:21:36,If you ever want to listen to music this is the one,5,0,,positive
2022-04-20 09:58:50,I have to Uninstall and reinstall like ever other day because the play bar keeps disappearing.,2,1,,negative
2022-04-21 10:34:52,New update is terrible. I can't see the songs I'm playing!? So bad.,1,0,,negative
2022-01-30 17:42:51,"While I don't care about recent controversies, I cannot abide by Spotify cutting customer service for uncontroversial problems. The app is malfunctioning and I can't seem to get help.",1,2,,negative
2022-02-18 03:03:39,App is not showing what's currently playing or the media control buttons. This makes it difficult to actually use the app,1,0,,negative
2022-04-09 20:16:08,"App is a little heavy to use, a few handful songs are missing. Overall a good app",4,0,,negative
2022-04-14 11:33:59,"Spotify used to be so goated, and better than every app ever. Now with all this stupid premium stuff it just sucks",2,0,,negative
2022-06-22 18:58:12,Best songs collection and UI,5,0,,positive
2022-07-08 21:52:57,Excellent Playlist that they select in turns of Jazz.,5,0,,positive
2022-01-12 22:18:33,"It is so fun and I really recommend Spotify, however you do have to pay to get premium wich u can listen to music without ads and without Wi-Fi, but overall GREAT awesome",5,1,,positive
2022-07-01 02:10:34,I love this app. It has so many genres to pick from. So many songs to chose and you can follow your friends and listen to there playlist. I like how for instance Salish Matter isn't like Drake but you can still listen to her music. ❤,5,0,,positive
2022-05-13 11:13:57,"Super slow loading of phone app. And no, nothing's wrong with my connection, and nothing's wrong with my android. Every other app in my phone works perfectly fine, but it takes forever just to open library or searching some artists/songs. Things simply won't load, and it used to work fine too!",1,0,,negative
2022-01-19 22:18:59,Its a good idea for people to lisen to music with no adds.,5,0,,positive
2022-04-19 03:39:46,"Spotify is a good app for music on ipad but on phone you can't listen to the song you serch, if you try to play the serched song it will play something totally different. I recommend this for ipad but not for phone.",2,0,,neutral
2022-04-21 16:23:42,"Terrible, absolutely terrible. I came from using YouTube music (which i loved and never had any issues) and every so often the app does this thing where it shows nothing is playing in the ""Now Playing"" section and when it does that, I can't skip, pause or anything with songs on my phone nor with my ear buds. In the last hour today, I've had to uninstall and reinstall the app twice to fix it. It is getting annoying and I'm about to cancel my premium subscription and go to Pandora or or something.",1,11,,negative
2022-03-17 12:35:48,It's the best app you have ever seen.It also works so fine without purchasing premium.If you can't pay premium then please use this app,5,0,,positive
2022-06-19 14:17:05,"Honestly it is a nice app but why is it always adding songs to my playlists this ""we added"" is so annoying idc what you added I only want to listen to my songs and not your stupid adds also it just autoplays these added songs althought I turned it off. If this won't go away I'll just switch back to youtube music/youtube because even youtube only have double ads and you have 3 ads in a row.",3,0,,negative
2022-04-15 06:47:30,Been paying for premium for months and months use Spotify daily but recently the apps been working poorly the play bar is hidden half the time forcing me to restart the app several times just to fix it and without the bar I cant pause skip or see what's playing FIX IT it's doing it on all my devices so I know it's not just this phone doing it,2,0,,negative
2022-05-03 19:13:40,"Why am I hearing ads when I paid for Premium? It is ultra annoying, especially when I chose Birdsongs to relax. It makes me so angry to hear ads. Stop it!",2,2,,negative
2022-06-28 18:33:06,So far it's okay we'll just grab more later when it starts playing a list of songs that I really like,4,0,,positive
2022-06-15 22:31:54,"I don't like the 10.000 songs limit on a playlist, Apple Music is better at this because the playlists can be infinite (or as many as your phone/computer can hold)",1,0,,negative
2022-06-19 04:49:34,It's a good app if you want to listen to music and have 4 adds after every 2 songs,2,1,,positive
2022-05-28 18:36:05,So much better with no commercials.,5,0,,positive
2022-07-07 15:39:58,Hlo Sir I am Spotify user sir I request your premium plan on payment method in play store i requested you pls open the service in play store payment pls i humble request,1,0,,neutral
2022-05-24 13:52:55,"It's awesome experience,it is on point when it comes to fresh music 🎶 no hustle just a ticky of a button",5,0,,positive
2022-06-16 19:44:06,I've been using Spotify for a couple of years now and it's good. but still a little bit upset that there is no podcasts funtion.,5,0,,positive
2022-04-04 23:34:06,"Ive got so many playlists, would've been better if i could group certain playlists; like, a playlist, with playlists in it. And this app amazing, i discovered so fascinating music, i just cant say Spotify is in veinsss",5,0,,positive
2022-07-06 07:06:37,This is truely the best music app I have ever used and I've tried a lot of them. I love my music and this app has all the music. From the golden oldies to the latest.,5,0,,positive
2022-03-08 19:21:17,thank you for fixing the problem immediately. good job for the team!,5,2,,positive
2022-02-25 15:48:11,"I wanna give it four stars because of its ads and another , it works only when we are online. But i give it 5 because the songs are good",5,0,,positive
2022-05-28 12:10:33,Amazing music app,5,0,,positive
2022-06-27 13:10:05,"Unless connected with mobile data, it shows no connection and the wifi access to app is allowed",1,5,,neutral
2022-01-31 22:25:02,So almost every jre podcast I listen to gets reset back to the begining after listening between 50 min and 1h20 min of content and goes to the next podcast leaving me to try and guess where I left off. Issue #2 I mainly listen to stuff while I'm at work and my work barely gets any cell reception so I have to download all my content. In order to access my downloaded content I have to shut my data off and then all my downloaded stuff will pop up after about 30 sec then I can turn my data back on.,2,1,,neutral
2022-06-21 20:44:25,I just wanna listen to 1 song. It keeps taking me to Playlist of song that isn't what I search,1,0,,negative
2022-02-13 21:39:42,Spotify is easily the best streaming app.,5,0,,positive
2022-07-04 18:05:12,I love this app BTS all songs available for Spotify 💜💜💜💜💜💜💜💜💜,4,0,,positive
2022-02-11 13:51:44,"Love this app, but I do not like that my playlist does not play randomly all the way through before repeating songs.",5,0,,negative
2022-07-03 23:05:51,Impossible to use liked songs will only play in shuffle controls are unbearable and the app is stuck on one song and will not let me play any others,1,0,,negative
2022-05-17 01:47:43,Love the app for podcasts and music,5,0,,positive
2022-03-09 23:46:08,"Like the App, but I don't know why it cannot be paid by credit card, it's easier. I have to pay it using gopay, Dana or with phone credit. It is such a hassle, because I don't use gopay or Dana, and if I topup my phone credit the money always disappear, so I don't want to topup phone credit (I buy package).",2,3,,negative
2022-05-29 06:08:21,Spotify is crashing whenever I try to play a song. But still a great app for music.,4,0,,positive
2022-07-08 23:33:45,I really like this app. But it's been acting up lately,4,0,,negative
2022-02-10 02:42:20,The best music app i had 🥰🤩 great lyrics and artist,5,0,,positive
